name,latitude,longitude
Абрит,43.90748,27.79569
Александрия,31.1991806,29.8951716
Александър Стамболийски,43.6853674,28.3577138
Алцек,43.77492,27.54257
Ангеларий,43.82895,27.52446
Балик,43.80135,27.58339
Балканци,43.59729,28.16287
Балчик,43.4259186,28.1602967
Батово,43.4132878,27.9609619
Бдинци,43.52416,27.51953
Бежаново,43.7126284,28.391185
Безводица,43.52262,27.9722
Безмер,42.4772899,26.3954499
Белгун,43.6014179,28.3208499
Бенковски,41.37797,25.25901
Било,42.956111,22.7475
Бистрец,42.3164401,27.0193499
Бобовец,43.44031,28.08683
Богдан,48.0405394,24.3609175
Божан,43.75968,27.45614
Божаново,43.61943,28.49203
Божурец,43.4233872,28.2955773
Божурово,43.70381,27.76243
Бонево,43.729313,27.3806778
Бранище,43.5273033,27.8462499
Брестница,42.4422076,22.4677801
Брястово,43.4588156,28.2102505
Българево,43.402908,28.4122149
Ваклино,43.6478286,28.5057207
Василево,41.4742136,22.6439393
Ведрина,43.5067516,27.6663983
Великово,43.64381,28.23287
Видно,43.5666329,28.3837938
Вичово,43.74354,28.31758
Владимирово,43.55502,27.52811
Воднянци,43.74578,27.54871
Войниково,43.70333,27.36615
Вранино,43.52588,28.30612
Вратарите,43.51781,27.54343
Врачанци,43.61583,27.78058
Габер,42.8972458,22.861171
Генерал Колево,43.64741,27.94362
Генерал Тошево,43.7001477,28.0362083
Гешаново,43.65797,27.53103
Главанци,43.7300407,27.2582403
Горица,40.6158967,20.7772187
Горичане,43.5303167,28.4555516
Горун,43.4953433,28.4855855
Градини,43.78079,27.88736
Градница,42.95751,24.95693
Граничар,42.13542,27.24303
Гурково,42.6577054,25.7932924
Гуслар,43.83551,27.44275
Дебрене,43.388035,27.8643694
Добрево,42.024151,22.1970554
Добрин,50.147776,26.4942777
Добрич,43.66377745,27.90021225939759
Долина,48.9782308,23.9789588
Дончево,43.517129,27.7675647
Драганово,43.47713,27.7826
Дропла,42.910596,27.1989553
Дряновец,43.71599,27.55665
Дуранкулак,43.6929646,28.5266661
Дъбовик,43.6887396,27.9581794
Дъбрава,43.06239,24.81874
Езерец,43.5952834,28.5368262
Енево,43.63935,27.52708
Ефрейтор Бакалово,43.83448,27.60699
Жегларци,43.66149,27.40593
Житен,43.81272,27.89452
Житница,43.734818,27.6386111
Загорци,42.3960001,27.06038
Захари Стояново,43.53343,26.25078
Земенци,43.79985,27.77831
Зимница,43.8647,27.61871
Златия,43.583747,27.6852385
Змеево,43.60604,28.0479
Зограф,43.74251,27.93465
Зърнево,43.63059,27.30937
Изворово,43.11878,26.29417
Иречек,43.5236,28.3638
Йовково,43.776967,28.140283
Каблешково,42.6598371,27.5648758
Каварна,43.4332836,28.3390066
Калина,43.62802,28.20103
Камен,43.71724,27.71175
Камен бряг,43.4548621,28.5508221
Капитан Димитрово,43.95293,27.69196
Карапелит,43.64827,27.56729
Карвуна,43.47412,28.02276
Кардам,43.7546011,28.1057178
Кладенци,41.4222924,23.041937
Козлодуйци,43.63008,27.74046
Коларци,43.84294,27.54335
Конаре,43.58579,28.2278
Коритен,43.92963,27.75402
Котленци,43.57111,27.92306
Кочмар,43.69231,27.45219
Крагулево,43.80148,27.65536
Краище,43.85058,27.98139
Кранево,43.3440334,28.0611858
Крапец,43.1915198,23.6541707
Красен,43.84354,27.9304
Кремена,43.5503289,28.1252256
Крупен,43.55141,28.26432
Крушари,43.859658350000004,27.732971632645267
Къпиново,43.0147293,25.7826518
Ловчанци,43.65531,27.64922
Лозенец,42.2088519,27.8068224
Лозница,44.5309221,19.2237478
Ломница,42.3767852,22.5490184
Люляково,41.73579,25.44676
Лясково,43.71762,27.68587
Ляхово,54.385658,55.696064
Мали извор,43.7269575,22.3115019
Малина,43.63849,28.07919
Малка Смолница,43.60424,27.72715
Медово,43.60845,27.53494
Методиево,43.61514,27.97533
Миладиновци,43.63368,27.63004
Могилище,43.4876456,28.3443726
Нейково,43.6100688,28.4276766
Нова Камена,43.7032881,27.2922514
Ново Ботево,43.48176,27.71132
Оброчище,43.40331,28.04623
Овчарово,43.70076,27.84483
Огняново,42.14752,24.41297
Огражден,43.7856,28.09889
Одринци,43.5357888,27.704516
Одърци,43.4403484,27.9629649
Оногур,43.82165,27.58592
Опанец,43.4924926,27.7795645
Орлова могила,43.54854,27.60287
Орляк,43.63892,27.36739
Паскалево,43.63827,27.83007
Петлешково,43.6556143,28.0261128
Писарово,43.69994,28.1055
Плачидол,43.5402425,27.8808541
Пленимир,43.65411,27.98164
Победа,47.97858,38.80843
Подслон,43.67497,27.51335
Полковник Дяково,43.84585,27.78638
Полковник Иваново,43.6814,27.62793
Полковник Минково,43.57733,27.89714
Полковник Савово,43.7100633,27.4036072
Полковник Свещарово,43.55244,27.93452
Попгригорово,43.52382,27.93379
Попгруево,43.74209,27.48
Поручик Кърджиево,43.94435,27.79964
Поручик Чунчево,43.4869373,28.4727752
Преселенци,43.64158,28.137
Преспа,40.88586535,21.03516789362069
Прилеп,41.3444984,21.5527115
Приморци,43.55386,27.90718
Присад,41.4160641,21.6060879
Пролез,43.57823,28.45448
Професор Златарски,43.76775,27.32637
Пчеларово,41.7870439,25.3650077
Пчелино,60.6177966,29.4481343
Пчелник,43.7708279,27.6127638
Равнец,43.68209,27.98726
Раковски,42.2873179,24.9659552
Рогачево,43.3801,28.02383
Рогозина,43.72157,28.23162
Росен,43.8498,27.9601
Росеново,43.66458,27.78277
Росица,43.4367012,21.5527235
Самуилово,43.58472,27.63948
Свети Никола,41.8647339,21.9420506
Свобода,43.7492731,27.817828
Северняк,43.94808,27.7823
Северци,43.79925,27.69484
Селце,42.0347216,20.939721
Сенокос,43.144652,22.926472
Септемврийци,43.60875,28.36187
Сираково,44.6766191,21.3343427
Славеево,43.4771979,27.9147221
Сливенци,43.71312,27.86363
Смин,43.66192,28.47088
Смолница,44.0039787,22.0248819
Сноп,43.79607,27.88105
Снягово,43.75161,28.06219
Соколник,43.4462346,27.884197
Соколово,44.4856383,20.3371966
Спасово,43.70269,28.30072
Средина,43.6246646,28.23815
Стаевци,43.68996,28.4946513
Стефан Караджа,43.62008,27.8774
Стефаново,42.8674641,25.3738598
Стожер,43.9916083,17.3209146
Стражица,43.2277591,25.9605434
Сърнец,43.81736,27.50026
Сърнино,41.4496791,24.7004917
Твърдица,42.7014434,25.8979171
Телериг,43.84577,27.6696
Тервел,43.7480676,27.4058887
Топола,44.2544752,20.6797215
Травник,44.2259454,17.6661738
Тригорци,43.53489,28.19523
Тюленово,43.4941248,28.5792742
Тянево,43.72397,27.63089
Узово,42.3312277,21.8325181
Фелдфебел Денково,43.71479,27.53009
Хаджи Димитър,42.7385677,25.389885
Хитово,43.76904,27.55657
Храброво,54.8975847,20.5734835
Царевец,41.67103,25.35166
Царичино,43.45567,28.17794
Църква,43.4130267,28.0162071
Челопечене,43.54965,28.31269
Черна,45.1840558,23.8488542
Черноморци,43.66969,28.44401
Чернооково,43.7105,28.17111
Честименско,43.77942,27.34821
Шабла,43.5406619,28.5339137
